Country;Value
Bénin;422968
Burkina Faso;428113
Cap-Vert;36
Côte d'Ivoire;29976
Gambie;261967
Ghana;1041260
Guinée;95574
Guinée-Bissau;71982
Liberia;1915762
Mali;307035
Niger;780876
Sénégal;276242
Sierra Leone;638859
Togo;519450
