Country;Value
Bénin;889597
Burkina Faso;182527
Cap-Vert;65
Côte d'Ivoire;7388
Gambie;50378
Ghana;1104370
Guinée;35841
Guinée-Bissau;11757
Liberia;839581
Niger;309675
Nigéria;479845
Sénégal;165933
Sierra Leone;646808
Togo;391338
