Country;Value
Burkina Faso;804539
Cap-Vert;18
Côte d'Ivoire;62726
Gambie;116353
Ghana;1071637
Guinée;20936
Guinée-Bissau;50391
Liberia;922173
Mali;227482
Niger;620058
Nigéria;551187
Sénégal;343670
Sierra Leone;934028
Togo;617101
