Country;Value
Burkina Faso;36514
Cap-Vert;16
Côte d'Ivoire;3527
Gambie;39164
Ghana;1094483
Guinée;33405
Guinée-Bissau;11299
Liberia;606952
Niger;496858
Nigéria;143079
Sénégal;241926
Sierra Leone;154459
Togo;344862
