Country;Value
Bénin;705839
Burkina Faso;3858046
Cap-Vert;1
Côte d'Ivoire;1140627
Gambie;300363
Ghana;3755166
Guinée;317200
Guinée-Bissau;50381
Liberia;1407455
Mali;886482
Niger;842343
Sénégal;281958
Sierra Leone;1537322
Togo;697374
